Juventus , Rangers,group,"Stadio delle Alpi, Turin",4,1,1995-10-18 20:30:00+01:00
Steaua București , Borussia Dortmund,group,"Stadionul Steaua, Bucharest",0,0,1995-11-01 21:30:00+01:00
Rangers , Juventus,group,"Ibrox Park, Glasgow",0,4,1995-11-01 19:30:00+01:00
Rangers , Steaua București,group,"Ibrox Park, Glasgow",1,1,1995-11-22 19:30:00+01:00
Juventus , Borussia Dortmund,group,"Stadio delle Alpi, Turin",1,2,1995-11-22 20:30:00+01:00
Steaua București , Juventus,group,"Stadionul Steaua, Bucharest",0,0,1995-12-06 21:30:00+01:00
Borussia Dortmund , Rangers,group,"Westfalenstadion, Dortmund",2,2,1995-12-06 20:30:00+01:00
Grasshopper , Ferencváros,group,"Hardturm, Zurich",0,3,1995-09-13 20:30:00+02:00
Ajax , Real Madrid,group,"Olympic Stadium, Amsterdam",1,0,1995-09-13 20:30:00+02:00
Ferencváros , Ajax,group,"Űllői út, Budapest",1,5,1995-09-27 20:30:00+01:00
Real Madrid , Grasshopper,group,"Santiago Bernabéu, Madrid",2,0,1995-09-27 20:30:00+01:00
Real Madrid , Ferencváros,group,"Santiago Bernabéu, Madrid",6,1,1995-10-18 20:30:00+01:00
Ajax , Grasshopper,group,"Olympic Stadium, Amsterdam",3,0,1995-10-18 20:30:00+01:00
Ferencváros , Real Madrid,group,"Üllői út, Budapest",1,1,1995-11-01 20:30:00+01:00
Grasshopper , Ajax,group,"Hardturm, Zurich",0,0,1995-11-01 20:30:00+01:00
Ferencváros , Grasshopper,group,"Üllői út, Budapest",3,3,1995-11-22 20:30:00+01:00
Real Madrid , Ajax,group,"Santiago Bernabéu, Madrid",0,2,1995-11-22 20:30:00+01:00
Ajax , Ferencváros,group,"Olympic Stadium, Amsterdam",4,0,1995-12-06 20:30:00+01:00
Grasshopper , Real Madrid,group,"Hardturm, Zurich",0,2,1995-12-06 20:30:00+01:00
Auxerre , Ajax,group,"Stade de l'Abbé-Deschamps, Auxerre",0,1,1996-09-11 20:30:00+02:00
Grasshopper , Rangers,group,"Hardturm, Zürich",3,0,1996-09-11 20:30:00+02:00
Rangers , Auxerre,group,"Ibrox Stadium, Glasgow",1,2,1996-09-25 19:30:00+02:00
Ajax , Grasshopper,group,"Amsterdam Arena, Amsterdam",0,1,1996-09-25 20:30:00+02:00
Auxerre , Grasshopper,group,"Stade de l'Abbé-Deschamps, Auxerre",1,0,1996-10-16 20:30:00+02:00
Ajax , Rangers,group,"Amsterdam Arena, Amsterdam",4,1,1996-10-16 20:30:00+02:00
Rangers , Ajax,group,"Ibrox Stadium, Glasgow",0,1,1996-10-30 19:30:00+01:00
Grasshopper , Auxerre,group,"Hardturm, Zürich",3,1,1996-10-30 20:30:00+01:00
Rangers , Grasshopper,group,"Ibrox Stadium, Glasgow",2,1,1996-11-20 19:30:00+01:00
Ajax , Auxerre,group,"Amsterdam Arena, Amsterdam",1,2,1996-11-20 20:30:00+01:00
Auxerre , Rangers,group,"Stade de l'Abbé-Deschamps, Auxerre",2,1,1996-12-04 20:30:00+01:00
Grasshopper , Ajax,group,"Hardturm, Zürich",0,1,1996-12-04 20:30:00+01:00
Atlético Madrid , Steaua București,group,"Vicente Calderón, Madrid",4,0,1996-09-11 20:30:00+02:00
Borussia Dortmund , Widzew Łódź,group,"Westfalenstadion, Dortmund",2,1,1996-09-11 20:30:00+02:00
Widzew Łódź , Atlético Madrid,group,"Stadion Widzewa, Łódź",1,4,1996-09-25 20:30:00+02:00
Steaua București , Borussia Dortmund,group,"Stadionul Steaua, Bucharest",0,3,1996-09-25 20:30:00+02:00
Atlético Madrid , Borussia Dortmund,group,"Vicente Calderón, Madrid",0,1,1996-10-16 20:30:00+02:00
Steaua București , Widzew Łódź,group,"Stadionul Steaua, Bucharest",1,0,1996-10-16 20:30:00+02:00
Widzew Łódź , Steaua București,group,"Stadion Widzewa, Łódź",2,0,1996-10-30 20:30:00+01:00
Borussia Dortmund , Atlético Madrid,group,"Westfalenstadion, Dortmund",1,2,1996-10-30 20:30:00+01:00
Widzew Łódź , Borussia Dortmund,group,"Stadion Widzewa, Łódź",2,2,1996-11-20 20:30:00+01:00
Steaua București , Atlético Madrid,group,"Stadionul Steaua, Bucharest",1,1,1996-11-20 20:30:00+01:00
Atlético Madrid , Widzew Łódź,group,"Vicente Calderón, Madrid",1,0,1996-12-04 20:30:00+01:00
Borussia Dortmund , Steaua București,group,"Westfalenstadion, Dortmund",5,3,1996-12-04 20:30:00+01:00
Rapid Wien , Fenerbahçe,group,"Ernst-Happel-Stadion, Vienna",1,1,1996-09-11 20:30:00+02:00
Juventus , Manchester United,group,"Stadio delle Alpi, Turin",1,0,1996-09-11 20:30:00+02:00
Fenerbahçe , Juventus,group,"Şükrü Saracoğlu Stadium, Istanbul",0,1,1996-09-25 21:30:00+02:00
Manchester United , Rapid Wien,group,"Old Trafford, Manchester",2,0,1996-09-25 19:30:00+02:00
Rapid Wien , Juventus,group,"Ernst-Happel-Stadion, Vienna",1,1,1996-10-16 20:30:00+02:00
Fenerbahçe , Manchester United,group,"Şükrü Saracoğlu Stadium, Istanbul",0,2,1996-10-16 21:30:00+02:00
Juventus , Rapid Wien,group,"Stadio delle Alpi, Turin",5,0,1996-10-30 20:30:00+01:00
Manchester United , Fenerbahçe,group,"Old Trafford, Manchester",0,1,1996-10-30 19:30:00+01:00
Manchester United , Juventus,group,"Old Trafford, Manchester",0,1,1996-11-20 19:30:00+01:00
Fenerbahçe , Rapid Wien,group,"Şükrü Saracoğlu Stadium, Istanbul",1,0,1996-11-20 21:30:00+01:00
Juventus , Fenerbahçe,group,"Stadio delle Alpi, Torino",2,0,1996-12-04 20:30:00+01:00
Rapid Wien , Manchester United,group,"Ernst-Happel-Stadion, Vienna",0,2,1996-12-04 20:30:00+01:00
IFK Göteborg , Rosenborg,group,"Ullevi, Gothenburg",2,3,1996-09-11 20:30:00+02:00
Milan , Porto,group,"San Siro, Milan",2,3,1996-09-11 20:30:00+02:00
Porto , IFK Göteborg,group,"Estádio das Antas, Porto",2,1,1996-09-25 19:30:00+02:00
Rosenborg , Milan,group,"Lerkendal Stadion, Trondheim",1,4,1996-09-25 20:30:00+02:00
IFK Göteborg , Milan,group,"Ullevi, Gothenburg",2,1,1996-10-16 20:30:00+02:00
Rosenborg , Porto,group,"Lerkendal Stadion, Trondheim",0,1,1996-10-16 20:30:00+02:00
Porto , Rosenborg,group,"Estádio das Antas, Porto",3,0,1996-10-30 19:30:00+01:00
Milan , IFK Göteborg,group,"San Siro, Milan",4,2,1996-10-30 20:30:00+01:00
Porto , Milan,group,"Estádio das Antas, Porto",1,1,1996-11-20 19:30:00+01:00
Rosenborg , IFK Göteborg,group,"Lerkendal Stadion, Trondheim",1,0,1996-11-20 20:30:00+01:00
IFK Göteborg , Porto,group,"Ullevi, Gothenburg",0,2,1996-12-04 20:30:00+01:00
Milan , Rosenborg,group,"San Siro, Milan",1,2,1996-12-04 20:30:00+01:00
Galatasaray , Borussia Dortmund,group,"Ali Sami Yen Stadium, Istanbul",0,1,1997-09-17 18:45:00+02:00
Sparta Prague , Parma,group,"Stadion Letná, Prague",0,0,1997-09-17 20:45:00+02:00
Parma , Galatasaray,group,"Stadio Ennio Tardini, Parma",2,0,1997-10-01 20:45:00+02:00
Borussia Dortmund , Sparta Prague,group,"Westfalenstadion, Dortmund",4,1,1997-10-01 20:45:00+02:00
Parma , Borussia Dortmund,group,"Stadio Ennio Tardini, Parma",1,0,1997-10-22 20:45:00+02:00
Sparta Prague , Galatasaray,group,"Stadion Letná, Prague",3,0,1997-10-22 20:45:00+02:00
Borussia Dortmund , Parma,group,"Westfalenstadion, Dortmund",2,0,1997-11-05 20:45:00+01:00
Galatasaray , Sparta Prague,group,"Ali Sami Yen Stadium, Istanbul",2,0,1997-11-05 20:45:00+01:00
